date,amount,description
2024-01-01,3200.00,Salary deposit from TechCorp Inc
2024-01-02,-1200.00,Monthly rent payment to Riverside Apartments
2024-01-03,-87.45,Grocery shopping at Whole Foods Market
2024-01-04,-18.50,Coffee and breakfast at Blue Bottle Coffee
2024-01-05,-45.00,Gas station fill-up at Shell
2024-01-06,-125.80,Electric bill payment to PG&E
2024-01-07,-28.00,Lunch at Chipotle Mexican Grill
2024-01-08,-156.78,Grocery shopping at Trader Joe's
2024-01-09,-79.99,Internet bill payment to Comcast
2024-01-10,-22.50,Coffee and pastry at local bakery
2024-01-11,-180.00,Car insurance payment to State Farm
2024-01-12,-95.67,Dinner at Olive Garden with friends
2024-01-13,-15.99,Netflix monthly subscription
2024-01-14,-42.00,Uber ride to downtown office
2024-01-15,1500.00,Freelance web development project
2024-01-16,-112.34,Grocery shopping at Safeway
2024-01-17,-35.00,Movie tickets at AMC Theaters
2024-01-18,-65.00,Gym membership at Planet Fitness
2024-01-19,-28.75,Prescription pickup at CVS Pharmacy
2024-01-20,-145.99,Clothing shopping at Target
2024-01-21,-38.25,Lunch at Panera Bread
2024-01-22,-85.00,Haircut and styling at salon
2024-01-23,-67.89,Grocery shopping at local market
2024-01-24,-12.99,Spotify premium subscription
2024-01-25,-95.00,Water and sewage bill payment
2024-01-26,-220.00,Car maintenance and oil change
2024-01-27,-52.50,Dinner at Italian restaurant
2024-01-28,-89.99,Amazon online purchase - electronics
2024-01-29,-34.99,Book purchase at Barnes & Noble
2024-01-30,-110.00,Monthly phone bill to Verizon
2024-01-31,-350.00,Credit card payment to Chase
2024-02-01,3200.00,Salary deposit from TechCorp Inc
2024-02-02,-1200.00,Monthly rent payment to Riverside Apartments
2024-02-03,-92.18,Grocery shopping at Whole Foods Market
2024-02-04,-19.75,Coffee and muffin at Starbucks
2024-02-05,-48.50,Gas station fill-up at Chevron
2024-02-06,-134.22,Electric bill payment to PG&E
2024-02-07,-32.00,Lunch at Subway
2024-02-08,-143.56,Grocery shopping at Costco
2024-02-09,-79.99,Internet bill payment to Comcast
2024-02-10,-26.00,Coffee and bagel at local cafe
2024-02-11,-55.00,Uber ride to airport
2024-02-12,-125.00,Valentine's Day dinner at steakhouse
2024-02-13,-15.99,Netflix monthly subscription
2024-02-14,-200.00,Valentine's Day gifts and flowers
2024-02-15,2200.00,Tax refund from IRS
2024-02-16,-98.45,Grocery shopping at Trader Joe's
2024-02-17,-40.00,Movie tickets and popcorn
2024-02-18,-65.00,Gym membership at Planet Fitness
2024-02-19,-35.50,Prescription pickup at Walgreens
2024-02-20,-189.99,Winter clothing shopping at Macy's
2024-02-21,-45.75,Lunch at Thai restaurant
2024-02-22,-120.00,Massage therapy session
2024-02-23,-78.90,Grocery shopping at local market
2024-02-24,-12.99,Spotify premium subscription
2024-02-25,-88.00,Water and sewage bill payment
2024-02-26,-175.00,Car tire replacement
2024-02-27,-68.25,Dinner at Mexican restaurant
2024-02-28,-156.78,Amazon online purchase - home goods
2024-03-01,3200.00,Salary deposit from TechCorp Inc
2024-03-02,-1200.00,Monthly rent payment to Riverside Apartments
2024-03-03,-105.67,Grocery shopping at Whole Foods Market
2024-03-04,-21.25,Coffee and croissant at local cafe
2024-03-05,-52.00,Gas station fill-up at Shell
2024-03-06,-118.75,Electric bill payment to PG&E
2024-03-07,-29.00,Lunch at Five Guys
2024-03-08,-134.23,Grocery shopping at Safeway
2024-03-09,-79.99,Internet bill payment to Comcast
2024-03-10,-28.50,Coffee and danish at bakery
2024-03-11,-180.00,Car insurance payment to State Farm
2024-03-12,-165.00,Dinner at upscale restaurant
2024-03-13,-15.99,Netflix monthly subscription
2024-03-14,-75.00,Concert tickets for weekend show
2024-03-15,2500.00,Annual bonus from work
2024-03-16,-123.89,Grocery shopping at Trader Joe's
2024-03-17,-45.00,Movie tickets and dinner combo
2024-03-18,-65.00,Gym membership at Planet Fitness
2024-03-19,-42.75,Prescription pickup at CVS Pharmacy
2024-03-20,-210.00,Spring clothing shopping spree
2024-03-21,-58.00,Lunch at sushi restaurant
2024-03-22,-100.00,Facial treatment at spa
2024-03-23,-89.55,Grocery shopping at local market
2024-03-24,-12.99,Spotify premium subscription
2024-03-25,-92.00,Water and sewage bill payment
2024-03-26,-300.00,Car maintenance and brake repair
2024-03-27,-78.75,Dinner at seafood restaurant
2024-03-28,-234.56,Amazon online purchase - furniture
2024-03-29,-46.50,Coffee table book and magazines
2024-03-30,-110.00,Monthly phone bill to Verizon
2024-03-31,-500.00,Credit card payment to Chase
2024-04-01,3200.00,Salary deposit from TechCorp Inc
2024-04-02,-1200.00,Monthly rent payment to Riverside Apartments
2024-04-03,-98.90,Grocery shopping at Whole Foods Market
2024-04-04,-20.50,Coffee and pastry at Blue Bottle Coffee
2024-04-05,-49.00,Gas station fill-up at Chevron
2024-04-06,-142.35,Electric bill payment to PG&E
2024-04-07,-35.00,Lunch at Chipotle Mexican Grill
2024-04-08,-156.78,Grocery shopping at Costco
2024-04-09,-79.99,Internet bill payment to Comcast
2024-04-10,-27.00,Coffee and muffin at Starbucks
2024-04-11,-85.00,Uber ride to wedding venue
2024-04-12,-200.00,Wedding gift for colleague
2024-04-13,-15.99,Netflix monthly subscription
2024-04-14,-125.00,Spring wardrobe shopping
2024-04-15,3000.00,Freelance consulting project payment
2024-04-16,-134.15,Grocery shopping at Trader Joe's
2024-04-17,-55.00,Movie tickets and dinner date
2024-04-18,-65.00,Gym membership at Planet Fitness
2024-04-19,-38.25,Prescription pickup at Walgreens
2024-04-20,-167.99,Easter outfit shopping
2024-04-21,-48.50,Lunch at Vietnamese restaurant
2024-04-22,-95.00,Manicure and pedicure at salon
2024-04-23,-82.80,Grocery shopping at local market
2024-04-24,-12.99,Spotify premium subscription
2024-04-25,-85.00,Water and sewage bill payment
2024-04-26,-250.00,Car inspection and minor repairs
2024-04-27,-72.00,Dinner at barbecue restaurant
2024-04-28,-178.99,Amazon online purchase - electronics
2024-04-29,-39.75,Art supplies from craft store
2024-04-30,-110.00,Monthly phone bill to Verizon
2024-05-01,3200.00,Salary deposit from TechCorp Inc
2024-05-02,-1200.00,Monthly rent payment to Riverside Apartments
2024-05-03,-108.76,Grocery shopping at Whole Foods Market
2024-05-04,-22.00,Coffee and breakfast sandwich
2024-05-05,-51.50,Gas station fill-up at Shell
2024-05-06,-128.90,Electric bill payment to PG&E
2024-05-07,-31.00,Lunch at Panera Bread
2024-05-08,-145.67,Grocery shopping at Safeway
2024-05-09,-79.99,Internet bill payment to Comcast
2024-05-10,-25.50,Coffee and cake at local bakery
2024-05-11,-45.00,Uber ride to mother's day brunch
2024-05-12,-150.00,Mother's Day brunch and gifts
2024-05-13,-15.99,Netflix monthly subscription
2024-05-14,-89.99,Summer clothes shopping
2024-05-15,1800.00,Side project payment
2024-05-16,-119.34,Grocery shopping at Trader Joe's
2024-05-17,-42.00,Movie tickets and snacks
2024-05-18,-65.00,Gym membership at Planet Fitness
2024-05-19,-44.75,Prescription pickup at CVS Pharmacy
2024-05-20,-198.50,Summer wardrobe shopping
2024-05-21,-55.25,Lunch at Greek restaurant
2024-05-22,-110.00,Deep tissue massage
2024-05-23,-94.55,Grocery shopping at local market
2024-05-24,-12.99,Spotify premium subscription
2024-05-25,-90.00,Water and sewage bill payment
2024-05-26,-180.00,Car detailing and wash
2024-05-27,-68.75,Dinner at French restaurant
2024-05-28,-267.89,Amazon online purchase - home improvement
2024-05-29,-52.50,Gardening supplies from nursery
2024-05-30,-110.00,Monthly phone bill to Verizon
2024-05-31,-400.00,Credit card payment to Chase
2024-06-01,3200.00,Salary deposit from TechCorp Inc
2024-06-02,-1200.00,Monthly rent payment to Riverside Apartments
2024-06-03,-115.23,Grocery shopping at Whole Foods Market
2024-06-04,-23.50,Coffee and pastry at artisan cafe
2024-06-05,-54.00,Gas station fill-up at Chevron
2024-06-06,-135.45,Electric bill payment to PG&E
2024-06-07,-33.00,Lunch at Korean BBQ
2024-06-08,-162.78,Grocery shopping at Costco
2024-06-09,-79.99,Internet bill payment to Comcast
2024-06-10,-28.00,Coffee and scone at local shop
2024-06-11,-65.00,Uber ride to graduation ceremony
2024-06-12,-300.00,Graduation gift for nephew
2024-06-13,-15.99,Netflix monthly subscription
2024-06-14,-145.00,Summer activities gear
2024-06-15,2800.00,Annual performance bonus
2024-06-16,-128.45,Grocery shopping at Trader Joe's
2024-06-17,-48.00,Movie tickets and dinner combo
2024-06-18,-65.00,Gym membership at Planet Fitness
2024-06-19,-41.25,Prescription pickup at Walgreens
2024-06-20,-223.75,Summer vacation clothes shopping
2024-06-21,-62.50,Lunch at upscale bistro
2024-06-22,-125.00,Spa day treatment
2024-06-23,-103.80,Grocery shopping at local market
2024-06-24,-12.99,Spotify premium subscription
2024-06-25,-88.00,Water and sewage bill payment
2024-06-26,-350.00,Car summer maintenance package
2024-06-27,-85.50,Dinner at rooftop restaurant
2024-06-28,-189.99,Amazon online purchase - travel gear
2024-06-29,-67.25,Beach supplies and sunscreen
2024-06-30,-110.00,Monthly phone bill to Verizon
